epoch,train/acc,train/base_lr,train/coco/bbox_mAP,train/coco/bbox_mAP_50,train/coco/bbox_mAP_75,train/coco/bbox_mAP_l,train/coco/bbox_mAP_m,train/coco/bbox_mAP_s,train/data_time,train/loss,train/loss_bbox,train/loss_cls,train/loss_rpn_bbox,train/loss_rpn_cls,train/lr,train/memory,train/time,val/acc,val/base_lr,val/coco/bbox_mAP,val/coco/bbox_mAP_50,val/coco/bbox_mAP_75,val/coco/bbox_mAP_l,val/coco/bbox_mAP_m,val/coco/bbox_mAP_s,val/data_time,val/iter,val/loss,val/loss_bbox,val/loss_cls,val/loss_rpn_bbox,val/loss_rpn_cls,val/lr,val/memory,val/step,val/time,test/coco_bbox_mAP,test/coco_bbox_mAP_50,test/coco_bbox_mAP_75,test/coco_bbox_mAP_l,test/coco_bbox_mAP_m,test/coco_bbox_mAP_s
66.0,99.753981,0.000028,,,,,,,0.014744,0.019237,0.012708,0.005113,0.001239,0.000176,0.000003,2635.711538,0.194391,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,99.780273,0.000027,,,,,,,0.014636,0.018432,0.012089,0.004966,0.001185,0.000192,0.000003,2634.778846,0.192628,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,99.772761,0.000025,,,,,,,0.014883,0.018776,0.012409,0.005041,0.001167,0.000159,0.000003,2642.875000,0.194774,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,99.789663,0.000024,,,,,,,0.014764,0.017777,0.011727,0.004847,0.001076,0.000126,0.000003,2661.355769,0.193279,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,99.781212,0.000023,,,,,,,0.014870,0.018082,0.011986,0.004803,0.001119,0.000173,0.000003,2637.125000,0.193083,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,99.785907,0.000021,,,,,,,0.014545,0.018452,0.012166,0.004978,0.001114,0.000195,0.000003,2645.788462,0.192802,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,99.798114,0.000020,,,,,,,0.014640,0.017966,0.011807,0.004897,0.001110,0.000152,0.000003,2645.826923,0.192879,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,99.809383,0.000019,,,,,,,0.014422,0.016905,0.011097,0.004591,0.001072,0.000145,0.000003,2617.346154,0.193150,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,99.826285,0.000018,,,,,,,0.014520,0.016937,0.011090,0.004596,0.001057,0.000194,0.000003,2638.182692,0.192635,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,99.814078,0.000017,,,,,,,0.014512,0.017066,0.011232,0.004645,0.001039,0.000150,0.000002,2658.778846,0.193467,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,99.839431,0.000015,,,,,,,0.014732,0.016713,0.011036,0.004533,0.001007,0.000137,0.000002,2651.923077,0.193802,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,99.803748,0.000014,,,,,,,0.014668,0.016388,0.010897,0.004348,0.001003,0.000141,0.000002,2650.278846,0.193411,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,99.802809,0.000013,,,,,,,0.014739,0.016342,0.010755,0.004406,0.001042,0.000139,0.000002,2634.144231,0.193370,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,99.790602,0.000012,,,,,,,0.015002,0.016171,0.010654,0.004388,0.001003,0.000126,0.000002,2638.961538,0.195025,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,99.804688,0.000011,,,,,,,0.015044,0.015917,0.010497,0.004295,0.000978,0.000147,0.000002,2657.086538,0.194883,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,99.796236,0.000010,,,,,,,0.014427,0.015547,0.010307,0.004149,0.000939,0.000151,0.000002,2636.413462,0.192137,,,,,,,,,,,,,,,,,,,,,,,,,
82.0,99.819712,0.000010,,,,,,,0.014491,0.015388,0.010155,0.004147,0.000970,0.000117,0.000002,2635.528846,0.194038,,,,,,,,,,,,,,,,,,,,,,,,,
83.0,99.834736,0.000009,,,,,,,0.014867,0.015121,0.010016,0.004048,0.000930,0.000127,0.000002,2648.201923,0.193458,,,,,,,,,,,,,,,,,,,,,,,,,
